YEAR,DECJAN,JANFEB,FEBMAR,MARAPR,APRMAY,MAYJUN,JUNJUL,JULAUG,AUGSEP,SEPOCT,OCTNOV,NOVDEC
1995,1.22,.946,.853,.469,.576,.53,.234,-.13,-.416,-.477,-.478,-.554
1996,-.612,-.58,-.238,-.386,-.044,.111,-.173,-.358,-.426,-.349,-.146,-.336
1997,-.49,-.621,-.252,.543,1.14,2.287,2.827,3.037,3.057,2.401,2.542,2.335
1998,2.466,2.761,2.755,2.661,2.237,1.356,.392,-.319,-.6,-.798,-1.086,-.922
1999,-1.053,-1.14,-.971,-.903,-.601,-.31,-.477,-.725,-.937,-.973,-1.05,-1.161
2000,-1.139,-1.21,-1.113,-.409,.257,.02,-.157,-.129,-.21,-.387,-.714,-.566
2001,-.505,-.661,-.56,-.055,.288,.071,.299,.35,-.147,-.275,-.153,.019
2002,.009,-.171,-.121,.414,.891,.945,.716,1.025,.921,1,1.09,1.145
2003,1.218,.935,.833,.421,.214,.131,.178,.329,.492,.516,.57,.351
2004,.327,.359,-.035,.374,.56,.327,.574,.639,.591,.508,.805,.667
2005,.32,.81,1.067,.637,.893,.612,.519,.362,.329,-.167,-.392,-.57
2006,-.438,-.424,-.527,-.575,.043,.546,.718,.77,.84,.955,1.286,.951
2007,.985,.528,.12,.02,.354,-.136,-.247,-.427,-1.175,-1.217,-1.165,-1.193
2008,-1.02,-1.388,-1.579,-.879,-.349,.164,.089,-.252,-.545,-.692,-.597,-.663
2009,-.726,-.707,-.723,-.105,.328,.779,1.06,1.073,.745,.909,1.121,1.045
2010,1.067,1.52,1.469,.99,.668,-.211,-1.099,-1.662,-1.86,-1.899,-1.49,-1.577
2011,-1.739,-1.563,-1.575,-1.399,-.202,.016,-.191,-.502,-.751,-.933,-.949,-.957
2012,-.993,-.695,-.398,.112,.769,.866,1.128,.628,.351,.081,.125,.094
2013,.096,-.08,-.037,.095,.203,-.078,-.311,-.466,-.125,.13,-.053,-.248
2014,-.275,-.266,.027,.312,1.01,1.057,.921,.961,.593,.438,.763,.558
2015,.42,.459,.631,.943,1.592,2.101,1.987,2.365,2.532,2.241,2.297,2.112
2016,2.227,2.169,1.984,2.124,1.77,1.069,.354,.186,-.091,-.379,-.212,-.121
2017,-.055,-.056,-.08,.77,1.455,1.049,.461,.027,-.449,-.551,-.277,-.576
2018,-.623,-.731,-.502,-.432,.465,.469,.076,.132
